Day,Time,Hour,Location,Address,Region,Types
Sunday,8:00,8,Immanuel Lutheran Church,1296 Lexington Ave,Yorkville/Carnegie Hill,"Discussion, Open"
Sunday,8:00,8,Munger Cottage,395 Hudson St,Orange County,"Closed, Discussion, Wheelchair Access"
Sunday,8:00,8,Our Lady of Lebanon Maronite Cathedral,111 Remsen St,Brooklyn Heights,Big Book
Sunday,8:00,8,St John the Evangelist Roman Catholic Church,25 Ocean Ave,Suffolk County,"Closed, Men"
Sunday,8:00,8,St Monica's Church,413 E 79th St,Upper East Side,Closed
Sunday,8:00,8,Union Free Church,754 Ocean Breeze Walk,Suffolk County,"Closed, Wheelchair Access"
Sunday,8:00,8,West Side YMCA,5 W 63rd St,Upper West Side,"Closed, Wheelchair Access"
Sunday,8:15,8,Mustard Seed,122 E 37th St,Kip's Bay/Murray Hill,Closed
Sunday,8:30,8,Church of the Mediator,260 W 231st St,Kingsbridge,"Big Book, Wheelchair Access"
Sunday,8:30,8,St John's Lutheran Church,81 Christopher St,Greenwich Village,"Big Book, Literature, Open"
Sunday,8:45,8,Holy Name Church,207 W 96th St,Upper West Side,Beginner
Sunday,9:00,9,103 Quincy Street,103 Quincy St,Adelphi Crown Heights,Beginner
Sunday,9:00,9,82 East Main Street,82 E Main St,Suffolk County,Closed
Sunday,9:00,9,Adas Israel Synagogue,30 Atlantic Ave,Suffolk County,Closed
Sunday,9:00,9,Gustavus Adolphus Lutheran Church,155 E 22nd St,Gramercy Park,"Closed, Meditation"
Sunday,9:00,9,Jan Hus Church,351 E 74th St,Upper East Side,"Closed, Meditation, Step Meeting"
Sunday,9:00,9,Knights of Columbus Hall,163-16 Pidgeon Meadow Rd,Flushing,Beginner
Sunday,9:00,9,Monsignor Farrell High School,2900 Amboy Rd,"New Dorp, Oakwood, Oakwood Heights",Closed
Sunday,9:00,9,Mt Loretto Gymnasium,6581 Hylan Blvd,Prince's Bay,"Beginner, Wheelchair Access"
Sunday,9:00,9,Perry Street Workshop,50 Perry St,Greenwich Village,Closed
Sunday,9:00,9,St John's Boys Home,150 Beach 110th St,Rockaway Park,"Big Book, Wheelchair Access"
Sunday,9:30,9,Hazelden Tribeca,283 W Broadway,TriBeCa,"Meditation, Step Meeting, Wheelchair Access"
Sunday,9:30,9,Immaculate Conception School,21-47 29th St,Astoria / Steinway,"Discussion, Open"
Sunday,9:30,9,Life Recovery Center,1285 Fulton Ave,Morrisania,"Beginner, Wheelchair Access"
Sunday,9:30,9,Manse Barn at Tappan Reformed Church,32 Old Tappan Rd,Rockland County,"Discussion, Wheelchair Access"
Sunday,9:30,9,Mount Alverno Center,20 Grand St,Orange County,"Closed, Wheelchair Access"
Sunday,9:30,9,Mustard Seed,122 E 37th St,Kip's Bay/Murray Hill,Big Book
Sunday,9:30,9,North Woodmere Park Administration Building,750 Hungry Harbor Rd,Nassau County,"Beginner, Wheelchair Access"
Sunday,9:30,9,Saint Mark's Episcopal Church,33-50 82nd St,Jackson Heights,"Big Book, Wheelchair Access"
Sunday,9:30,9,St Margaret Church,66-10 79th Pl,Middle Village,Beginner
Sunday,9:30,9,St Margaret Church,66-10 79th Pl,Middle Village,"Discussion, Open"
Sunday,9:30,9,Twelfth Street Workshop,411 E 12th St,East Village,"Discussion, Open"
Sunday,9:30,9,Upper Manhattan Mental Health Center,1727 Amsterdam Ave,10 Upper Manhattan,"Beginner, Child-Friendly, Wheelchair Access"
Sunday,9:30,9,Young Israel of Scarsdale,1313 Weaver St,Scarsdale,Closed
Sunday,10:00,10,14th Street Y,344 E 14th St,East Village,"Step Meeting, Wheelchair Access"
Sunday,10:00,10,38-21 99th Street,38-21 99th St,Corona,"Open, Spanish"
Sunday,10:00,10,Fellowship of Reconciliation,521 N Broadway,Rockland County,"Closed, Gay, Wheelchair Access"
Sunday,10:00,10,Greater Ridgewood Youth Council,59-03 Summerfield St,Flushing,"Beginner, Closed, Wheelchair Access"
Sunday,10:00,10,Holy Rood Church,715 W 179th St,Washington Heights,"Step Meeting, Wheelchair Access"
Sunday,10:00,10,Irish Community Centre,990 McLean Ave,Yonkers,"Open, Wheelchair Access"
Sunday,10:00,10,Lenox Hill Neighborhood House,331 E 70th St,Upper East Side,Beginner
Sunday,10:00,10,LGBT Center,300 Wall St,"Sullivan, Green, and Ulster Counties",Beginner
Sunday,10:00,10,Life Recovery Center,1285 Fulton Ave,Morrisania,"Step Meeting, Tradition Study, Wheelchair Access"
Sunday,10:00,10,Munger Cottage,395 Hudson St,Orange County,"Beginner, Closed, Gay, Step Meeting, Wheelchair Access"
Sunday,10:00,10,Project Hospitality,100 Central Ave,St. George / New Brighton Thompkinsville,"Step Meeting, Wheelchair Access"
Sunday,10:00,10,St John's Inter-Faith Hospital,108,Bedford Stuyvesant,"Beginner, Closed, Wheelchair Access"
Sunday,10:00,10,St. Margaret Mary Church,9-18 27th Ave,Astoria / Steinway,"Closed, Speaker"
Sunday,10:00,10,St Mary Gate of Heaven Church,103-12 101st Ave,Ozone Park,"Closed, Step Meeting, Wheelchair Access"
Sunday,10:00,10,St Monica's Church,413 E 79th St,Upper East Side,Step Meeting
Sunday,10:00,10,Theatre 80,80 St Marks Pl,East Village,"Discussion, Open"
Sunday,10:15,10,Holy Name Church,207 W 96th St,Upper West Side,Tradition Study
Sunday,10:15,10,Theatre 80,80 St Marks Pl,East Village,Closed
Sunday,10:30,10,220 W Houston St,220 W Houston St,Greenwich Village,"Big Book, Open"
Sunday,10:30,10,46th Street Clubhouse,252 W 46th St,Hell's Kitchen,Closed
Sunday,10:30,10,HOW Club,552 Port Richmond Ave,St. George / New Brighton Thompkinsville,"Discussion, Open"
Sunday,10:30,10,Knights of Columbus Hall,163-16 Pidgeon Meadow Rd,Flushing,Step Meeting
Sunday,10:30,10,Mountainside Hospital,1 Bay Ave,New Jersey,"Atheist / Agnostic, Discussion, Open, Wheelchair Access"
Sunday,10:30,10,Preston High School,2780 Schurz Ave,Throggs Neck,"Closed, Wheelchair Access"
Sunday,10:30,10,St Sebastian's Parish Center,39-60 57th St,Woodside,"Step Meeting, Women"
Sunday,10:30,10,The Claremont,1431 College Ave,Morrisania,"Beginner, Literature, Wheelchair Access"
Sunday,10:30,10,West Side YMCA,5 W 63rd St,Upper West Side,"Closed, Men"
Sunday,10:30,10,Yonkers Family YMCA,17 Riverdale Ave,Yonkers,"Discussion, Men, Open, Wheelchair Access"
Sunday,11:00,11,35 Thayer Street,35 Thayer St,Washington Heights,"Open, Spanish"
Sunday,11:00,11,74 East 17th Street,74 E 17th St,Flatbush,Step Meeting
Sunday,11:00,11,Chabad Heights Community Center,664 Sterling Pl,Adelphi Crown Heights,Beginner
Sunday,11:00,11,Clubhouse,367 20th St,Park Slope,"Closed, Men"
Sunday,11:00,11,Forest Hills Volunteer Ambulance Corp,92-29 Metropolitan Ave,Forest Hills,"Closed, Wheelchair Access"
Sunday,11:00,11,Hazelden Tribeca,283 W Broadway,TriBeCa,"Closed, Meditation, Wheelchair Access"
Sunday,11:00,11,I Can Club,110-54 Farmers Blvd,St. Albans,"Discussion, Open, Wheelchair Access"
Sunday,11:00,11,Mustard Seed,122 E 37th St,Kip's Bay/Murray Hill,"Big Book, Open"
Sunday,11:00,11,Perry Street Workshop,50 Perry St,Greenwich Village,Closed
Sunday,11:00,11,St Patrick's Church,9511 4th Ave,Bay Ridge,Step Meeting
Sunday,11:00,11,St Patrick's School,3560 Richmond Rd,"New Dorp, Oakwood, Oakwood Heights","Step Meeting, Wheelchair Access"
Sunday,11:00,11,St Peters St Dennis Church,91 Ludlow St,Yonkers,Beginner
Sunday,11:00,11,The Bronfman Center,7 E 10th St,Greenwich Village,"Closed, Step Meeting, Wheelchair Access"
Sunday,11:00,11,Twelfth Street Workshop,411 E 12th St,East Village,Big Book
Sunday,11:00,11,Upper Manhattan Mental Health Center,1727 Amsterdam Ave,10 Upper Manhattan,"Open, Wheelchair Access"
Sunday,11:00,11,Wayside Baptist Manor,1726 Broadway,East New York,"Discussion, Open"
Sunday,11:00,11,Wyckoff Heights Medical Center,374 Stockholm St,Bushwick,"Atheist / Agnostic, Closed, Meditation"
Sunday,11:30,11,Hoboken University Hospital,308 Willow Ave,New Jersey,"Big Book, Wheelchair Access"
Sunday,11:30,11,Senior Citizens Center,126 Springs Fireplace Rd,Suffolk County,"Step Meeting, Wheelchair Access"
Sunday,12:00 PM,12,74 East 17th Street,74 E 17th St,Flatbush,"Closed, Spanish"
Sunday,12:00 PM,12,Graymoor Spiritual Life Center,1320 Rte 9 Spur,Putnam and Dutchess Counties,"Beginner, Wheelchair Access"
Sunday,12:00 PM,12,Holy Name Church,207 W 96th St,Upper West Side,"Closed, Men"
Sunday,12:00 PM,12,LGBT Community Center,208 W 13th St,Greenwich Village,"Open, Sign Language, Wheelchair Access"
Sunday,12:00 PM,12,Life Recovery Center,1285 Fulton Ave,Morrisania,"Beginner, Open, Spanish, Wheelchair Access"
Sunday,12:00 PM,12,Ripley-Grier Studios,131 W 72nd St,Upper West Side,"Closed, Literature"
Sunday,12:00 PM,12,St John - Visitation Church,275 W 230th St,"09 Kingsbridge, Riverdale","Open, Speaker"
Sunday,12:00 PM,12,St John's Boys Home,150 Beach 110th St,Rockaway Park,"Step Meeting, Wheelchair Access"
Sunday,12:30,12,220 W Houston St,220 W Houston St,Greenwich Village,"Closed, Meditation"
Sunday,12:30,12,East Midtown Plaza (Community Room H),320 E 24th St,Gramercy Park,"Discussion, Open, Wheelchair Access"
Sunday,12:30,12,St John's Lutheran Church,83 Christopher St,Greenwich Village,"LGBTQ, Open"
Sunday,12:30,12,St Monica's Church,413 E 79th St,Upper East Side,Closed
Sunday,12:30,12,West Side YMCA,5 W 63rd St,Upper West Side,Beginner
Sunday,12:45,12,Mustard Seed,122 E 37th St,Kip's Bay/Murray Hill,Step Meeting
Sunday,12:45,12,Mustard Seed,122 E 37th St,Kip's Bay/Murray Hill,Step Meeting
Sunday,12:45,12,St Francis Residence,155 W 22nd St,Chelsea,Step Meeting
Sunday,13:00,13,913 Broadway,913 Broadway,Metropolitan,"Beginner, Spanish"
Sunday,13:00,13,Arden Heights Jewish Center,1766 Arthur Kill Rd,Eltingville,"Closed, Wheelchair Access"
Sunday,13:00,13,Clubhouse,367 20th St,Park Slope,"Closed, Women"
Sunday,13:00,13,Ext Care Facility & Rehabilitation Center,330 Community Dr,Nassau County,"Discussion, Open, Wheelchair Access"
Sunday,13:00,13,Jacobi Medical Center,1400 Pelham Pkwy S,Westchester,"Child-Friendly, Closed, Discussion, Step Meeting, Wheelchair Access"
Sunday,13:00,13,Perry Street Workshop,50 Perry St,Greenwich Village,"Child-Friendly, Closed"
Sunday,13:00,13,Sarah Lawrence College,1 Mead Way,Bronxville,Closed
Sunday,13:00,13,Veterans Residence,22 E 119th St,East Harlem,"Tradition Study, Wheelchair Access"
Sunday,13:00,13,Woodhull Hospital,720 Flushing Ave,Metropolitan,"Open, Spanish"
Sunday,13:00,13,Woodrow Methodist Church,1075 Woodrow Rd,Eltingville,"Discussion, Open, Wheelchair Access"
Sunday,13:15,13,St Thomas Aquinas Church,1541 Hendrickson St,Ryder,"Discussion, Open"
Sunday,13:30,13,46th Street Clubhouse,252 W 46th St,Hell's Kitchen,"Beginner, Literature"
Sunday,13:30,13,74 East 17th Street,74 E 17th St,Flatbush,Open
Sunday,13:30,13,Grace Church,254 Hicks St,Brooklyn Heights,Closed
Sunday,13:30,13,Our Lady of Good Counsel Church,230 E 90th St,Yorkville/Carnegie Hill,"Literature, Open"
Sunday,13:30,13,Twelfth Street Workshop,411 E 12th St,East Village,"Discussion, Open"
Sunday,13:30,13,Twelfth Street Workshop,411 E 12th St,East Village,"Discussion, Open"
Sunday,13:45,13,First Presbyterian Church of Jamaica,89-60 164th St,Jamaica,Step Meeting
Sunday,14:00,14,Center for Recovery and Wellness,29 Avenue D,East Village,"Big Book, Wheelchair Access"
Sunday,14:00,14,Christ Church,2 Milton Rd,Rye,"Beginner, Literature"
Sunday,14:00,14,Church of the Holy Redeemer,2424 Linden Blvd,New Lots,Closed
Sunday,14:00,14,Greenpoint Reformed Church,136 Milton St,Greenpoint,"Beginner, Closed, Men"
Sunday,14:00,14,Harlem Hospital King Pavilion,506 Lenox Ave,West Harlem,"Beginner, Wheelchair Access"
Sunday,14:00,14,Manhattan Plaza Health Club,482 W 43rd St,Hell's Kitchen,"Closed, Women"
Sunday,14:00,14,Mt Vernon Civic Center,43 Gramatan Ave,Mt. Vernon,Closed
Sunday,14:00,14,Our Lady of Good Council School,42 Austin Pl,Stapleton,Closed
Sunday,14:00,14,St Monica's Church,413 E 79th St,Upper East Side,"Closed, Men"
Sunday,14:00,14,St Patrick's Church,9511 4th Ave,Bay Ridge,Open
Sunday,14:30,14,Church Santa Rosa de Lima,St. Rose of Lima's Church,Washington Heights,"Open, Spanish"
Sunday,14:30,14,Memorial United Methodist Church- The Loft,252 Bryant Ave,White Plains,"Closed, Wheelchair Access"
Sunday,14:30,14,St Peter's Episcopal Church,19 Smith St,Port Chester,"Open, Spanish"
Sunday,15:00,15,First Presbyterian Church,199 N Columbus Ave,Mt. Vernon,Step Meeting
Sunday,15:00,15,First Presbyterian Church of Jamaica,89-60 164th St,Jamaica,"Discussion, Open"
Sunday,15:00,15,Larchmont Temple-Blum Building,24 Willow Ave,Larchmont,"Closed, Meditation"
Sunday,15:00,15,Mustard Seed,122 E 37th St,Kip's Bay/Murray Hill,"Closed, Women"
Sunday,15:00,15,Our Lady of Assumption Parish Hall,17 High St,"Sullivan, Green, and Ulster Counties",Step Meeting
Sunday,15:00,15,Our Lady of Perpetual Help Church,111-50 115th St,S. Ozone Park,"Beginner, Discussion, Open"
Sunday,15:00,15,Perry Street Workshop,50 Perry St,Greenwich Village,Closed
Sunday,15:00,15,Riverside Church,490 Riverside Dr,West Harlem,"Beginner, Discussion, Open, Wheelchair Access"
Sunday,15:00,15,Saint James Episcopal Church,7 Mountain View Dr,"Sullivan, Green, and Ulster Counties","Discussion, Open"
Sunday,15:00,15,St Augustine's Church,292 Henry St,Bowery Lower East Side,"Open, Spanish, Wheelchair Access"
Sunday,15:00,15,St Paul Lutheran Church,449 Stewart Ave,Nassau County,"Step Meeting, Wheelchair Access"
Sunday,15:00,15,St Stephen's Church,439 E 238th St,Woodlawn,"Beginner, Literature"
Sunday,15:00,15,St Vincent Depaul Church Rectory,1500 Depaul St,Nassau County,"Discussion, Open"
Sunday,15:00,15,Town Hall Civic Association,172-15 140th Ave,Springfield Gardens,"Discussion, Open, Wheelchair Access"
Sunday,15:00,15,Twelfth Street Workshop,411 E 12th St,East Village,Step Meeting
Sunday,15:30,15,Our Lady of Good Counsel Church,230 E 90th St,Yorkville/Carnegie Hill,"Beginner, Closed"
Sunday,15:45,15,Greenpoint Reformed Church,136 Milton St,Greenpoint,"Step Meeting, Women"
Sunday,16:00,16,46th Street Clubhouse,252 W 46th St,Hell's Kitchen,Big Book
Sunday,16:00,16,90-46 150th Street,90-46 150th St,Jamaica,"Beginner, Spanish"
Sunday,16:00,16,Bethel United Methodist Church,7033 Amboy Rd,Tottenville,Beginner
Sunday,16:00,16,Church of St Joseph of Arimathea,2172 Saw Mill River Rd,White Plains,"Beginner, Wheelchair Access"
Sunday,16:00,16,Emanuel United Church of Christ,93-12 91st St,Woodhaven,Open
Sunday,16:00,16,Gibbs Mansion,218 Gates Ave,Bedford Stuyvesant,"Closed, LGBTQ, Wheelchair Access"
Sunday,16:00,16,Good Shepherd Methodist Church,30-44 Crescent St,Astoria / Steinway,Beginner
Sunday,16:00,16,HOW Club,552 Port Richmond Ave,St. George / New Brighton Thompkinsville,Step Meeting
Sunday,16:00,16,LGBT Community Center,208 W 13th St,Greenwich Village,"Atheist / Agnostic, Closed, Wheelchair Access"
Sunday,16:00,16,Middle Collegiate Church,50 E 7th St,East Village,"Big Book, Closed, LGBTQ, Wheelchair Access"
Sunday,16:00,16,Saint Angela Merci Church Rectory,917 Morris Ave,Melrose,"Beginner, Big Book, Discussion, Step Meeting, Tradition Study"
Sunday,16:00,16,St Monica's Church,413 E 79th St,Upper East Side,"Closed, Literature"
Sunday,16:00,16,St Paul's Lutheran Church,3913 Avenue J,Vanderveer,Open
Sunday,16:00,16,St Phillip's Church,204 W 134th St,West Harlem,"Open, Wheelchair Access"
Sunday,16:00,16,The Christopher,202 W 24th St,Chelsea,"Child-Friendly, Open, Wheelchair Access"
Sunday,16:00,16,United Methodist Church,1200 North Ave,New Rochelle,"Discussion, Open, Wheelchair Access"
Sunday,16:30,16,Holy Name School,202 W 97th St,Upper West Side,"Discussion, Open, Spanish"
Sunday,16:30,16,St Peter Claver Roman Catholic Church,29 Claver Pl,Lefferts,Beginner
Sunday,16:30,16,St Stanislaus Kostka Church Rectory,189 Driggs Ave,Greenpoint,"Discussion, Open"
Sunday,16:30,16,Twelfth Street Workshop,411 E 12th St,East Village,"Discussion, Open"
Sunday,17:00,17,10 South Moger Avenue,10 S Moger Ave,Mt. Kisco,"Open, Spanish"
Sunday,17:00,17,2126 2nd Avenue,2126 2nd Ave,East Harlem,"Discussion, Open, Spanish, Wheelchair Access"
Sunday,17:00,17,35 Thayer Street,35 Thayer St,Washington Heights,"Open, Spanish, Wheelchair Access"
Sunday,17:00,17,38-21 99th Street,38-21 99th St,Corona,"Open, Spanish, Women"
Sunday,17:00,17,Clubhouse,367 20th St,Park Slope,Beginner
Sunday,17:00,17,Covenant Lutheran Church,68-59 60th Ln,Ridgewood/Glendale,Big Book
Sunday,17:00,17,Father Hicks Center @ St Claire's Church,151 Lindenwood Rd,Great Kills,"Step Meeting, Wheelchair Access"
Sunday,17:00,17,Most Holy Redeemer Church,173 E 3rd St,East Village,"Closed, Speaker"
Sunday,17:00,17,Saint Johns Episcopal Church,139 St Johns Pl,Downtown,"Discussion, Open"
Sunday,17:00,17,Second Presbyterian Church,3 W 95th St,Upper West Side,Closed
Sunday,17:00,17,St James Episcopal Church,865 Madison Ave,Upper East Side,"Closed, Meditation"
Sunday,17:00,17,St Luke's Episcopal Church,331 NY-100,Somers,Step Meeting
Sunday,17:00,17,St Mark's Roman Catholic Church,2609 E 19th St,Sheepshead Bay,Big Book
Sunday,17:00,17,St Mary the Virgin Church,133 W 46th St,Hell's Kitchen,Closed
Sunday,17:00,17,St Vincent Ferrer Church,1603 Brooklyn Ave,Vanderveer,Open
Sunday,17:00,17,Trinity Presbyterian Church,422 W 57th St,Hell's Kitchen,Beginner
Sunday,17:00,17,Union Free Church,754 Ocean Breeze Walk,Suffolk County,"Big Book, Wheelchair Access"
Sunday,17:00,17,Union Free Church,754 Ocean Breeze Walk,Suffolk County,"Closed, Wheelchair Access"
Sunday,17:15,17,220 W Houston St,220 W Houston St,Greenwich Village,Step Meeting
Sunday,17:30,17,46th Street Clubhouse,252 W 46th St,Hell's Kitchen,"Closed, LGBTQ, Speaker"
Sunday,17:30,17,Cathedral High School,350 E 56th St,East 50th to 60th Street,Beginner
Sunday,17:30,17,Cathedral High School,350 E 56th St,East 50th to 60th Street,Step Meeting
Sunday,17:30,17,Christ Church,254 E Putnam Ave,Connecticut,Open
Sunday,17:30,17,LGBT Community Center,208 W 13th St,Greenwich Village,"Atheist / Agnostic, Closed, Step Meeting, Wheelchair Access"
Sunday,17:30,17,SRO Building,109 W 129th St,West Harlem,"Step Meeting, Wheelchair Access"
Sunday,17:30,17,St John's Episcopal Church,224 Waverly Pl,Greenwich Village,"LGBTQ, Open"
Sunday,17:30,17,St John's Lutheran Church,81 Christopher St,Greenwich Village,"Big Book, Open, Wheelchair Access"
Sunday,17:30,17,St Mary's Church,2326 84th St,Bath Beach,Beginner
Sunday,18:00,18,42 North Street,42 North St,Orange County,Beginner
Sunday,18:00,18,Boys & Girls Club,123 Jefferson St,New Jersey,"Beginner, Step Meeting"
Sunday,18:00,18,Cherry Grove Fire House,181 Bayview Walk,Suffolk County,Beginner
Sunday,18:00,18,Christian Parish for Spiritual Renewal,2044 7th Ave,West Harlem,"Beginner, Wheelchair Access"
Sunday,18:00,18,Church of the Ascension,1 Kingsley Ave,"Bull's Head, Willow Brook, Casleton, S.I. Teleport","Big Book, Closed, Literature"
Sunday,18:00,18,Church of the Good Shepherd,39 Granite Springs Rd,Somers,"Open, Wheelchair Access"
Sunday,18:00,18,Church of the Good Shepherd,39 Granite Springs Rd,Somers,"Beginner, Wheelchair Access"
Sunday,18:00,18,Fire Island Pines Fire House,34 Fire Island Blvd,Suffolk County,"Discussion, Open"
Sunday,18:00,18,First Reformed Church of College Point,118-1 14th Ave,College Point,"Beginner, Literature"
Sunday,18:00,18,Fourth Universalist Church,160 Central Park West,Upper West Side,Beginner
Sunday,18:00,18,Grace Lutheran Church,59 Grand Blvd,Scarsdale,Big Book
Sunday,18:00,18,Leo Mintzer Community Center,251 Underhill Ave,White Plains,Step Meeting
Sunday,18:00,18,Leo Mintzer Community Center,251 Underhill Ave,White Plains,Step Meeting
Sunday,18:00,18,LGBT Community Center,208 W 13th St,Greenwich Village,"Big Book, Wheelchair Access"
Sunday,18:00,18,LGBT Community Center,208 W 13th St,Greenwich Village,"LGBTQ, Step Meeting, Wheelchair Access"
Sunday,18:00,18,Most Holy Redeemer Church,173 E 3rd St,East Village,"Open, Spanish, Wheelchair Access"
Sunday,18:00,18,Our Lady of Refuge Church,290 E 196th St,Fordham,"Beginner, Big Book, Open, Step Meeting, Tradition Study"
Sunday,18:00,18,Our Saviour's Atonement Church,178 Bennett Ave,Washington Heights,Closed
Sunday,18:00,18,Perry Street Workshop,50 Perry St,Greenwich Village,Closed
Sunday,18:00,18,St Albans Veterans Hosp,1875 Linden Blvd,St. Albans,"Step Meeting, Wheelchair Access"
Sunday,18:00,18,St Cecilia's Church Rectory,84 Herbert St,Greenpoint,Step Meeting
Sunday,18:00,18,St Claire's School Cafeteria,137-25 Brookville Blvd,Rosedale,Closed
Sunday,18:00,18,St Francis of Assisi Church,St. Francis of Assisi Church,Midtown West Side,"Closed, Step Meeting"
Sunday,18:00,18,St James Episcopal Church,865 Madison Ave,Upper East Side,"Discussion, Open"
Sunday,18:00,18,St James Episcopal Church,865 Madison Ave,Upper East Side,Step Meeting
Sunday,18:00,18,St John's Boys Home,150 Beach 110th St,Rockaway Park,"Big Book, Wheelchair Access"
Sunday,18:00,18,St John's Boys Home,150 Beach 110th St,Rockaway Park,"Child-Friendly, Closed, Discussion, Wheelchair Access"
Sunday,18:00,18,St John's Lutheran Church,122 Fenimore Rd,Mamaroneck,Beginner
Sunday,18:00,18,St Margaret's Residence,49 Fulton St,Bowling Green/City Hall,"Big Book, Open"
Sunday,18:00,18,St Mary's Star of the Sea,19-20 New Haven Ave,Far Rockaway,Step Meeting
Sunday,18:00,18,St Peter Claver Roman Catholic Church,29 Claver Pl,Lefferts,"Closed, Discussion"
Sunday,18:00,18,The Claremont,1431 College Ave,Morrisania,"Step Meeting, Wheelchair Access"
Sunday,18:00,18,Trinity Presbyterian Church,422 W 57th St,Hell's Kitchen,"Discussion, Open"
Sunday,18:00,18,Twelfth Street Workshop,411 E 12th St,East Village,"Discussion, Gay, Men, Open"
Sunday,18:00,18,United Methodist Church,350 Main St,Suffolk County,Beginner
Sunday,18:15,18,Good Shepherd Faith Church,152 W 66th St,Upper West Side,"Closed, Step Meeting"
Sunday,18:15,18,Mustard Seed,122 E 37th St,Kip's Bay/Murray Hill,"Closed, Discussion"
Sunday,18:15,18,Mustard Seed,122 E 37th St,Kip's Bay/Murray Hill,Beginner
Sunday,18:15,18,Mustard Seed,122 E 37th St,Kip's Bay/Murray Hill,Closed
Sunday,18:15,18,Mustard Seed,122 E 37th St,Kip's Bay/Murray Hill,Beginner
Sunday,18:15,18,St Ignatius Loyola School,48 E 84th St,Upper East Side,"Beginner, Discussion, Wheelchair Access"
Sunday,18:15,18,St Luke's Episcopal Church,331 NY-100,Somers,Open
Sunday,18:15,18,St Monica's Church,413 E 79th St,Upper East Side,"Discussion, Open"
Sunday,18:30,18,220 W Houston St,220 W Houston St,Greenwich Village,Closed
Sunday,18:30,18,Bellmore Presbyterian Church,2740 Martin Ave,Nassau County,"LGBTQ, Step Meeting"
Sunday,18:30,18,Creative Arts Studio,310 Atlantic Ave,Brooklyn Heights,"Discussion, Open,"
Sunday,18:30,18,First Congregational Church,14 Brookside Rd,Connecticut,"Big Book, Wheelchair Access"
Sunday,18:30,18,First Presbyterian Church,124 Henry St,Brooklyn Heights,"Closed, Discussion"
Sunday,18:30,18,Manhattan Church of the Seventh-Day Adventist,232 W 11th St,Greenwich Village,Beginner
Sunday,18:30,18,Mt Carmel Baptist Church,76 Gleneida Ave,Putnam and Dutchess Counties,"Big Book, Wheelchair Access"
Sunday,18:30,18,Park Slope United Methodist Church,410 6th Ave,Park Slope,"Closed,"
Sunday,18:30,18,Reformed Church of the Tarrytowns,42 Broadway,Tarrytown,Open
Sunday,18:30,18,Saint Joseph's Church,141 Ashburton Ave,Yonkers,"Beginner, Wheelchair Access"
Sunday,18:30,18,South Salem Presbyterian Church,111 Spring St,Croton Falls,"Closed, Men, Step Meeting"
Sunday,18:30,18,St Andrew's Church (in Saltaire),109 Broadway Rd,Suffolk County,"Open, Wheelchair Access"
Sunday,18:30,18,St Augustine Presbyterian Church,838 E 165th St,Morrisania,"Literature, Step Meeting"
Sunday,18:30,18,St James Episcopal Church,84-07 Broadway,Elmhurst,Beginner
Sunday,18:30,18,St John's Lutheran Church,86-20 114th St,Richmond Hill,Beginner
